# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = lewontin_cohen_multivariate_model
# start_datetime = 2025-05-03 17:42:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 100
#     num_warmup = 100
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/alrob/AppData/Local/Temp/RtmpyQxtE2/standata-5ae858891b43.json
# init = C:/Users/alrob/AppData/Local/Temp/RtmpyQxtE2/init-5ae8565166e3_1.json
# random
#   seed = 1790079858
# output
#   file = C:/Users/alrob/Documents/GitHub/xsdm/lewontin_cohen_multivariate-202505031242-1-527a60.csv
#   diagnostic_file =  (Default)
#   refresh = 1
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alrob/Documents/GitHub/xsdm/lewontin_cohen_multivariate-profile-202505031242-1-079d2d.csv
#   save_cmdstan_config = false (Default)
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=lewontin_cohen_multivariate_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigl.1,sigl.2,sigr.1,sigr.2,L.1.1,L.2.1,L.1.2,L.2.2,c,pd
# Adaptation terminated
# Step size = 6.37327e-05
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1
-70.9382,0.667259,6.37327e-05,10,1023,0,78.8756,11.7686,4.59554,0.877752,1.11215,5.52314,5.51907,1,0.307704,0,0.951482,-2.36097,0.814521
-70.3853,0.581193,6.37327e-05,10,1023,0,78.9881,11.7533,4.59851,0.877651,1.12803,5.51668,5.41414,1,0.297269,0,0.954794,-2.37093,0.815745
-70.1967,0.817522,6.37327e-05,10,1023,0,75.0528,11.7561,4.5935,0.872654,1.12061,5.50261,5.39963,1,0.294527,0,0.955643,-2.37224,0.81672
-69.7948,0.635577,6.37327e-05,10,1023,0,74.2733,11.7506,4.59619,0.870868,1.11583,5.5292,5.36737,1,0.290623,0,0.956838,-2.36803,0.816725
-70.0252,0.542058,6.37327e-05,10,1023,0,74.4455,11.7556,4.60036,0.879963,1.11623,5.53653,5.38273,1,0.27914,0,0.960251,-2.37817,0.816695
-70.0333,0.679298,6.37327e-05,10,1023,0,73.1525,11.7716,4.59365,0.883476,1.12067,5.46034,5.44863,1,0.288264,0,0.957551,-2.37817,0.815892
-70.4006,0.594395,6.37327e-05,10,1023,0,73.8227,11.7676,4.59555,0.881375,1.13161,5.56833,5.32413,1,0.272246,0,0.962228,-2.38057,0.813188
-70.4445,0.664647,6.37327e-05,10,1023,0,73.3178,11.7922,4.55048,0.87041,1.09622,5.48803,5.55851,1,0.22887,0,0.973457,-2.40032,0.821704
-71.0497,0.982746,6.37327e-05,10,1023,0,75.6406,11.7808,4.52453,0.877853,1.08602,5.72016,5.73456,1,0.232138,0,0.972683,-2.40669,0.822371
-69.7466,0.882626,6.37327e-05,10,1023,0,78.9157,11.7525,4.52037,0.924152,1.09874,5.62024,5.65786,1,0.271462,0,0.962449,-2.40965,0.823071
-70.6128,0.882556,6.37327e-05,10,1023,0,72.5505,11.7251,4.53057,0.91828,1.10089,5.85282,5.64266,1,0.276569,0,0.960994,-2.39612,0.824018
-68.8139,0.933693,6.37327e-05,10,1023,0,74.598,11.6551,4.52972,0.914108,0.997339,5.5203,6.0298,1,0.241128,0,0.970493,-2.45028,0.825138
-68.7558,0.674657,6.37327e-05,10,1023,0,75.7425,11.6533,4.4988,0.899894,0.988429,5.48928,6.21021,1,0.250337,0,0.968159,-2.4393,0.822669
-69.3404,0.677054,6.37327e-05,10,1023,0,72.8682,11.6792,4.5274,0.894235,0.929377,5.54236,6.09788,1,0.267356,0,0.963598,-2.44601,0.823768
-67.7162,0.999804,6.37327e-05,10,1023,0,73.5208,11.6244,4.54905,0.839469,0.853249,5.6253,5.79648,1,0.233035,0,0.972468,-2.48341,0.832966
-68.4252,0.965693,6.37327e-05,10,1023,0,74.786,11.6036,4.52398,0.832895,0.868165,5.96304,5.43171,1,0.262516,0,0.964928,-2.50265,0.831074
-68.4243,0.929652,6.37327e-05,10,1023,0,75.5224,11.5877,4.51075,0.827823,0.854765,6.07275,5.31481,1,0.270734,0,0.962654,-2.52474,0.829986
-66.6909,0.789908,6.37327e-05,10,1023,0,71.0789,11.5513,4.51484,0.811751,0.82972,5.84047,5.36192,1,0.272606,0,0.962126,-2.55475,0.828312
-67.8507,0.591356,6.37327e-05,10,1023,0,71.7409,11.5383,4.41713,0.824476,0.826477,6.02557,5.65163,1,0.252094,0,0.967703,-2.62772,0.823991
-68.7129,0.510144,6.37327e-05,10,1023,0,74.3771,11.5969,4.41607,0.861581,0.803608,6.06041,5.50825,1,0.24078,0,0.97058,-2.59774,0.820296
-66.3744,0.867922,6.37327e-05,10,1023,0,70.7028,11.5938,4.41547,0.860548,0.781621,5.89753,5.44406,1,0.28683,0,0.957982,-2.58218,0.826839
-66.232,0.851977,6.37327e-05,10,1023,0,69.994,11.5834,4.42369,0.849307,0.791526,5.87041,5.4992,1,0.293932,0,0.955826,-2.56669,0.8281
-66.5506,0.598788,6.37327e-05,10,1023,0,69.0556,11.581,4.43886,0.838788,0.789692,5.97286,5.62268,1,0.274184,0,0.961677,-2.55368,0.82972
-66.5797,0.574146,6.37327e-05,10,1023,0,70.4071,11.5651,4.43505,0.837183,0.813996,5.93451,5.76024,1,0.288243,0,0.957557,-2.55117,0.826211
-66.5294,0.211661,6.37327e-05,10,1023,0,72.7938,11.5656,4.43411,0.839474,0.815616,5.9209,5.7552,1,0.290267,0,0.956946,-2.54982,0.826703
-66.7855,0.751397,6.37327e-05,10,1023,0,71.4258,11.545,4.45938,0.853322,0.819945,5.89834,5.83815,1,0.278806,0,0.960347,-2.53391,0.828536
-66.6252,0.9126,6.37327e-05,10,1023,0,70.5252,11.5116,4.42585,0.838311,0.779274,5.45548,6.00998,1,0.24656,0,0.969128,-2.55217,0.834968
-66.5379,0.686994,6.37327e-05,10,1023,0,71.277,11.5215,4.44118,0.828526,0.776657,5.31759,5.95957,1,0.227608,0,0.973753,-2.56746,0.837887
-66.4672,0.835307,6.37327e-05,10,1023,0,72.2825,11.5286,4.42969,0.812726,0.753949,5.51564,6.01612,1,0.199685,0,0.97986,-2.5713,0.847167
-66.6676,0.776804,6.37327e-05,10,1023,0,72.4697,11.4877,4.43681,0.824487,0.803555,5.40403,6.19814,1,0.233224,0,0.972423,-2.51348,0.848153
-66.6432,0.915955,6.37327e-05,10,1023,0,68.1206,11.4803,4.47054,0.806884,0.825987,5.59181,6.18988,1,0.246636,0,0.969108,-2.49472,0.851723
-66.7605,0.768709,6.37327e-05,10,1023,0,69.3828,11.4875,4.44493,0.788109,0.805505,5.66891,6.24983,1,0.22588,0,0.974155,-2.48544,0.85144
-67.1911,0.94315,6.37327e-05,10,1023,0,69.6455,11.4796,4.48813,0.8036,0.835857,5.65635,6.44227,1,0.227983,0,0.973665,-2.45787,0.850349
-67.0633,0.914584,6.37327e-05,10,1023,0,69.1494,11.5215,4.49413,0.826011,0.820091,5.38024,6.32259,1,0.233423,0,0.972375,-2.49109,0.849443
-67.4985,0.912567,6.37327e-05,10,1023,0,70.1014,11.4924,4.47037,0.835764,0.85188,5.28706,6.2202,1,0.209925,0,0.977717,-2.46143,0.847351
-69.33,0.557632,6.37327e-05,10,1023,0,78.4967,11.4512,4.46775,0.80027,0.891408,5.03378,6.06343,1,0.151983,0,0.988383,-2.47163,0.849438
-68.1194,0.849991,6.37327e-05,10,1023,0,72.7783,11.4245,4.44959,0.808558,0.868331,5.03366,6.2877,1,0.178149,0,0.984004,-2.4824,0.849759
-67.7416,0.942408,6.37327e-05,10,1023,0,72.6322,11.3411,4.51371,0.753878,0.889986,5.23171,5.68206,1,0.19652,0,0.9805,-2.52402,0.839568
-67.4972,0.925226,6.37327e-05,10,1023,0,76.4212,11.3951,4.50568,0.768095,0.886025,4.92864,5.68726,1,0.207414,0,0.978253,-2.56821,0.839574
-67.1658,0.953661,6.37327e-05,10,1023,0,72.5408,11.4695,4.58197,0.800083,0.829084,5.08711,5.59645,1,0.179672,0,0.983726,-2.60421,0.836028
-67.2757,0.312477,6.37327e-05,10,1023,0,72.5686,11.4675,4.57781,0.801533,0.829844,5.05172,5.61263,1,0.185002,0,0.982738,-2.60638,0.835193
-66.6665,0.827509,6.37327e-05,10,1023,0,71.986,11.495,4.63892,0.799373,0.82522,5.05742,5.46786,1,0.248789,0,0.968558,-2.63499,0.833238
-66.3336,0.690322,6.37327e-05,10,1023,0,71.1138,11.4708,4.65413,0.80494,0.848332,5.06443,5.48552,1,0.258775,0,0.965938,-2.61961,0.834164
-66.1386,0.582994,6.37327e-05,10,1023,0,74.0331,11.467,4.65957,0.784982,0.848546,5.08218,5.50424,1,0.229772,0,0.973245,-2.62548,0.837347
-67.0257,0.482868,6.37327e-05,10,1023,0,71.4517,11.4414,4.62231,0.803797,0.873291,5.22197,5.54173,1,0.189998,0,0.981784,-2.64642,0.840905
-66.7571,0.919538,6.37327e-05,10,1023,0,70.3424,11.5054,4.59822,0.802736,0.878339,5.08271,5.40631,1,0.187033,0,0.982354,-2.67655,0.843418
-66.9842,0.989548,6.37327e-05,10,1023,0,72.126,11.4608,4.56763,0.825539,0.903125,5.14158,5.4272,1,0.193903,0,0.981021,-2.66729,0.848392
-67.1186,0.479986,6.37327e-05,10,1023,0,72.8059,11.4655,4.57634,0.836683,0.897656,5.20471,5.31471,1,0.1906,0,0.981668,-2.66368,0.849555
